,YEAR,CONSTITUENCY,NAME,WINNER,PARTY,GENDER,AGE,CATEGORY,VOTES,ELECTORS,VOTERS,VALID VOTES,TURNOUT,PREDICTED WINNER
143,2006,THOUSAND LIGHTS,. MD. HASHIM,N,IND,M,46,GEN,40,169506,108295,108291,0.6388859391407974,N
144,2006,THOUSAND LIGHTS,". RAJKAMAL, V.",N,IND,M,36,GEN,37,169506,108295,108291,0.6388859391407974,N
145,2006,THOUSAND LIGHTS,". CHANDRASEKARAN, P.",N,IND,M,60,GEN,34,169506,108295,108291,0.6388859391407974,N
146,2006,THOUSAND LIGHTS,". GOVINDARAJAN, A.",N,IND,M,45,GEN,32,169506,108295,108291,0.6388859391407974,N
147,2006,THOUSAND LIGHTS,". GUNASEKARAN, R.",N,IND,M,51,GEN,25,169506,108295,108291,0.6388859391407974,N
148,2006,THOUSAND LIGHTS,". THIRUMARAN, C.",N,IND,M,38,GEN,24,169506,108295,108291,0.6388859391407974,N
149,2006,THOUSAND LIGHTS,". RAJKUMAR, S.",N,IND,M,33,GEN,23,169506,108295,108291,0.6388859391407974,N
149,2006,THOUSAND LIGHTS,". RAJKUMAR, S.",N,IND,M,33,GEN,23,169506,108295,108291,0.6388859391407974,N
150,2006,THOUSAND LIGHTS,". MADHAVAN, R.",N,IND,M,51,GEN,22,169506,108295,108291,0.6388859391407974,N
151,2006,THOUSAND LIGHTS,". MURTHY, P.",N,IND,M,36,GEN,21,169506,108295,108291,0.6388859391407974,N
152,2006,CHEPAUK,". KARUNANIDHI, M.",W,DMK,M,82,GEN,34188,105252,67082,67082,0.6373465587352259,N
153,2006,CHEPAUK,. DAWOON MIAKHAN,N,IND,M,32,GEN,25662,105252,67082,67082,0.6373465587352259,W
154,2006,CHEPAUK,". NARAYANASAMY, B.",N,DMDK,M,33,GEN,3681,105252,67082,67082,0.6373465587352259,N
155,2006,CHEPAUK,". SIVANESAN, R.N.",N,BJP,M,54,GEN,1124,105252,67082,67082,0.6373465587352259,N
156,2006,CHEPAUK,. ELANTHIRUMARAN,N,LKPT,M,38,GEN,669,105252,67082,67082,0.6373465587352259,N
157,2006,CHEPAUK,". MOHAMED MEERA, A.",N,IND,M,36,GEN,349,105252,67082,67082,0.6373465587352259,N
157,2006,CHEPAUK,". MOHAMED MEERA, A.",N,IND,M,36,GEN,349,105252,67082,67082,0.6373465587352259,N
158,2006,CHEPAUK,. MIA KHAN,N,IND,M,81,GEN,272,105252,67082,67082,0.6373465587352259,N
159,2006,CHEPAUK,". SUBRAMANI, N.",N,IND,M,35,GEN,238,105252,67082,67082,0.6373465587352259,N
