YEAR,CONSTITUENCY,NAME,WINNER,PARTY,GENDER,AGE,CATEGORY,VOTES,ELECTORS,VOTERS,VALID VOTES
2006,MYLAPORE,". SHEKHER, S.VE.",W,AIADMK,M,55,GEN,62794,235246,147345,147345
2006,MYLAPORE,". NAPOLEON, D.",N,DMK,M,42,GEN,61127,235246,147345,147345
2006,MYLAPORE,. SANTHANAGOPALAN,N,LKPT,M,28,GEN,9436,235246,147345,147345
2006,MYLAPORE,". RAJAN, V.N.",N,DMDK,M,37,GEN,7441,235246,147345,147345
2006,MYLAPORE,". CHANDRALEKHA, V.S.",N,JP,F,58,GEN,2898,235246,147345,147345
2006,MYLAPORE,". NARAYANAN, 'AMERICAI' V.",N,IND,M,50,GEN,1961,235246,147345,147345
2006,MYLAPORE,". VEERARAGHAVAN,P.",N,IND,M,33,SC,671,235246,147345,147345
2006,MYLAPORE,". PREMKUMAR, P.",N,IND,M,44,SC,192,235246,147345,147345
2006,MYLAPORE,". ARUL, E.",N,IND,M,28,GEN,150,235246,147345,147345
2006,MYLAPORE,". SEKAR, C.",N,IND,M,41,GEN,147,235246,147345,147345
2006,MYLAPORE,". PARTHIBAN, J.",N,IND,M,35,GEN,132,235246,147345,147345
2006,MYLAPORE,". MOHANRAJ, J.",N,JJ,M,54,GEN,112,235246,147345,147345
2006,MYLAPORE,. DOMINIC,N,IND,M,51,GEN,87,235246,147345,147345
2006,MYLAPORE,". CHANDRASEKAR,N.",N,IND,M,30,GEN,72,235246,147345,147345
2006,MYLAPORE,". GOKULNATHAN, B.",N,IND,M,34,GEN,64,235246,147345,147345
2006,MYLAPORE,". DASAPRAKASH, T.S.",N,RLD,M,42,GEN,61,235246,147345,147345
2006,SAIDAPET,". SENTHAMIZHAN, G.",W,AIADMK,M,43,GEN,75973,248483,164396,164295
2006,SAIDAPET,". BASKARAN, C.R.",N,PMK,M,45,GEN,70068,248483,164396,164295
2006,SAIDAPET,". VENUGOPAL, R.",N,DMDK,M,40,GEN,11675,248483,164396,164295
2006,SAIDAPET,". RANGANATHAN, K.",N,BJP,M,59,SC,1692,248483,164396,164295
2006,SAIDAPET,". RAVI, P.S.",N,IND,M,44,GEN,780,248483,164396,164295
2006,SAIDAPET,". NATARAJAN, G.",N,IND,M,36,GEN,705,248483,164396,164295
2006,SAIDAPET,". KANDASAMY, P.",N,IND,M,51,SC,564,248483,164396,164295
2006,SAIDAPET,". MOHAN, M.",N,IND,M,58,GEN,469,248483,164396,164295
2006,SAIDAPET,". RAMU, A.",N,IND,M,43,GEN,425,248483,164396,164295
2006,SAIDAPET,". VISWANATHAN, E.",N,AIFB,M,46,SC,368,248483,164396,164295
2006,SAIDAPET,". SRIRAM, S.",N,UCPI,M,40,GEN,266,248483,164396,164295
2006,SAIDAPET,. SURESHBABU,N,IND,M,27,GEN,246,248483,164396,164295
2006,SAIDAPET,". MUNIAPPAN, M.",N,IND,M,58,GEN,222,248483,164396,164295
2006,SAIDAPET,". JAISHANKAR, M.",N,IND,M,38,SC,195,248483,164396,164295
2006,SAIDAPET,". TAMIL SELVAN, M.",N,IND,M,36,GEN,148,248483,164396,164295
2006,SAIDAPET,". PRAGALATHAN, M.",N,IND,M,44,SC,93,248483,164396,164295
2006,SAIDAPET,". ANANTHAKUMAR, G.",N,IND,M,31,SC,92,248483,164396,164295
2006,SAIDAPET,". VIJAYAKUMAR, S.",N,IND,M,52,GEN,87,248483,164396,164295
2006,SAIDAPET,". THIRUVENGADAM, U.",N,IND,M,43,SC,80,248483,164396,164295
2006,SAIDAPET,. RAJASEKAR,N,IND,M,38,GEN,78,248483,164396,164295
2006,SAIDAPET,". ANAND, S.",N,IND,M,33,SC,69,248483,164396,164295
2006,GUMMIDIPUNDI,. VIJAYAKUMAR.K.S,W,AIADMK,M,35,GEN,63147,195425,156263,156263
2006,GUMMIDIPUNDI,. DURAI.JEYAVELU,N,PMK,M,57,GEN,62918,195425,156263,156263
2006,GUMMIDIPUNDI,. SEKAR C.H,N,DMDK,M,27,GEN,21738,195425,156263,156263
2006,GUMMIDIPUNDI,. SEKAR.R,N,IND,M,38,GEN,2147,195425,156263,156263
2006,GUMMIDIPUNDI,. SEKAR.K,N,SP,M,36,GEN,1096,195425,156263,156263
2006,GUMMIDIPUNDI,. MURUGESAN.T,N,IND,M,74,SC,779,195425,156263,156263
2006,GUMMIDIPUNDI,. VENKATESAN.P,N,IND,M,37,GEN,762,195425,156263,156263
2006,GUMMIDIPUNDI,. NARASAIAH.L,N,BJP,M,56,GEN,662,195425,156263,156263
2006,GUMMIDIPUNDI,. MOHAMADYUSUF .A,N,NCP,M,40,GEN,635,195425,156263,156263
2006,GUMMIDIPUNDI,. ALEXANDER.A,N,BSP,M,38,GEN,567,195425,156263,156263
2006,GUMMIDIPUNDI,. BATHINNAIAH .V,N,IND,M,52,GEN,511,195425,156263,156263
2006,GUMMIDIPUNDI,. SEKAR.K.C,N,IND,M,37,GEN,415,195425,156263,156263
2006,GUMMIDIPUNDI,. PARASURAMAN.R,N,TNJC,M,48,GEN,266,195425,156263,156263
2006,GUMMIDIPUNDI,. RAGHUPATHY.G,N,IND,M,33,GEN,226,195425,156263,156263
2006,GUMMIDIPUNDI,. SUNDARAMA NAIDU.T,N,IND,M,52,GEN,216,195425,156263,156263
2006,GUMMIDIPUNDI,. GOPAL.G,N,IND,M,41,GEN,178,195425,156263,156263
2006,PONNERI,. BALARAMANAN.P,W,AIADMK,M,45,SC,84259,248155,175234,175229
2006,PONNERI,. ANBUVANAN.V,N,DMK,M,37,SC,73170,248155,175234,175229
2006,PONNERI,. ANGAMUTHU.S,N,DMDK,M,30,SC,13508,248155,175234,175229
2006,PONNERI,. MANI.E,N,IND,M,59,SC,1649,248155,175234,175229
2006,PONNERI,. JANAKIRAMAN.S,N,CPI(ML)(L),M,39,SC,1185,248155,175234,175229
2006,PONNERI,. NATARAJAN.S,N,BSP,M,49,SC,865,248155,175234,175229
2006,PONNERI,. ELUMALAI.K,N,IND,M,58,SC,593,248155,175234,175229
2006,THIRUVOTTIYUR,. SAMY. K.P.P,W,DMK,M,48,GEN,158204,496267,341404,341402
2006,THIRUVOTTIYUR,. MOORTHY.V,N,AIADMK,M,47,GEN,154757,496267,341404,341402
2006,THIRUVOTTIYUR,. MURUGAN. S,N,DMDK,M,29,GEN,21915,496267,341404,341402
2006,THIRUVOTTIYUR,. GANESAN.K,N,BJP,M,40,GEN,2977,496267,341404,341402
2006,THIRUVOTTIYUR,. BHUVANESWARAN.G,N,IND,M,31,GEN,1053,496267,341404,341402
2006,THIRUVOTTIYUR,. SHANMUGAM.T.A,N,IND,M,50,GEN,760,496267,341404,341402
2006,THIRUVOTTIYUR,. RAJENDIRAN. A,N,AIFB,M,33,GEN,603,496267,341404,341402
2006,THIRUVOTTIYUR,. SURESH. A,N,IND,M,35,GEN,453,496267,341404,341402
2006,THIRUVOTTIYUR,. RAJENDIRAN.N,N,IND,M,55,GEN,257,496267,341404,341402
2006,THIRUVOTTIYUR,. RAJENDIRAN.V.S,N,IND,M,42,GEN,234,496267,341404,341402
2006,THIRUVOTTIYUR,. ARUL DOSS.J,N,IND,M,40,GEN,189,496267,341404,341402
2006,VILLIVAKKAM,. RANGANATHAN. B,W,DMK,M,54,GEN,278850,941112,611251,611084
2006,VILLIVAKKAM,. KALAN. G,N,AIADMK,M,47,GEN,248734,941112,611251,611084
2006,VILLIVAKKAM,. VELMURUGAN. G,N,DMDK,M,55,GEN,51892,941112,611251,611084
2006,VILLIVAKKAM,. RAVISUNDARAM.S,N,BJP,M,39,GEN,9202,941112,611251,611084
2006,VILLIVAKKAM,. PREMA. K,N,LKPT,F,56,GEN,6473,941112,611251,611084
2006,VILLIVAKKAM,. THYAGARAJAN.J,N,IND,M,36,GEN,2610,941112,611251,611084
2006,VILLIVAKKAM,. SATHEESH KUMAR.K.P,N,IND,M,30,GEN,2189,941112,611251,611084
2006,VILLIVAKKAM,. MOHAN,N,IND,M,47,GEN,2051,941112,611251,611084
2006,VILLIVAKKAM,. SRINIVASAN. S,N,BSP,M,62,GEN,1670,941112,611251,611084
2006,VILLIVAKKAM,. SATHESH KUMAR. S,N,IND,M,33,GEN,1651,941112,611251,611084
2006,VILLIVAKKAM,. MAHALAKSHIMI.B,N,SP,F,40,GEN,745,941112,611251,611084
2006,VILLIVAKKAM,. PALANIVEL. K,N,CPI(ML)(L),M,40,GEN,741,941112,611251,611084
